abbey,教堂
airfield,机场
airport,机场
anchorage,锚地
aqueduct,沟/渠
archipelago,群岛
arm,湾/河/支流
atoll,环礁
bank,浅滩
banks,浅滩
bar,沙洲
barrow,山
basin,盆地/海盆
bay,湾
bayou,湖/长沼
beach,滩
beacon,灯塔
bench,阶地/海底阶地
bight,湾
bill,角/岬
bluff,陡崖
bog,沼泽
borough,区/市
bourn,溪
bourne,溪
branch,支流
bridge,桥
broad,湖沼
brook,河
burrow,洞穴
butte,峰/山
cairn,岩/山
camp,营
canal,运河/渠
canyon,峡谷/海底峡谷
canyon delta,深海三角洲
cape,角
cascade,瀑布
castle,堡
cataract,瀑布
cave,洞/溶洞
cay,礁/岛
cemetery,墓地
center,中
channel,水道/海峡/深海水道
church,教堂
city,城/市
cliff,陡崖
clough,峡谷
coast,海岸
college,学院
cone,丘/深海锥
cordillera,山脉/海底山脉
country,县/郡
cove,湾
crag,岩
crater,火山口
creek,溪/河
dam,坝
deep,海渊
delta,三角洲
department,省/洲
depression,洼地/海洼
depth,海渊
desert,沙漠/荒漠
district,区
ditch,沟/渠
divide,分水岭
down,丘
drain,排水渠
dry valley,干谷
dune,沙丘
dunes,沙丘
dyke,堤/沟
east,东
end,角
entrance,入口
escarpment,陡崖/海崖
estuary,河口湾
fall,瀑布
falls,瀑布
fan,深海扇
farm,农场
farms,农场
fell,丘/沼泽
fen,沼泽
ferry,渡口
firth,湾
flat,沙滩/海底平滩
flume,峡谷
ford,浅滩/渡口
foreland,海角
forest,森林/林地
fork,支流/河
fort,堡
fracture zone,破裂带/断裂带
gap,山口/海岭裂口/海沟
garden,花园
glacier,冰川
glade,湿地/沼泽
glen,河谷/谷地
gorge,峡谷
grass,草场/牧地
grassland,草场/牧地
green,草地
gulf,湾
gully,冲沟
guyot,平顶海山
harbor,港
harbour,港
head,角/峰
headland,角
heath,荒地
height,高地
highland,高地
hill,山
hillock,丘
hills,丘陵
hole,洞/湾/海穴
hollow,洼地
holm,岛
hook,沙嘴/河湾
horn,角/峰/支流
iceberg,冰山
icefalls,冰瀑
ice field,冰原
ice shelf,冰架
ice tongue,冰舌
Indian reservation,印第安人保留地/印第安人居留地
inlet,湾
insular shelf,岛架
island,岛
islands,群岛
isle,岛
isles,群岛
islet,岛
isthmus,地峡
key,礁/岛
knob,圆丘/山
knoll,圆丘/海穹
knolls,圆丘/海穹群
knoll group,海穹群
lagoon,潟湖
lake,湖
lakes,湖群
land,地
ledge,暗礁
levee,深海堤
lighthouse,灯塔
loch,湖/湾
long,长
low,下
lowland,低地
manor,庄园
mare,海
market,市场
marsh,沼泽
massif,山
meadow,草场/牧地
middle,中
moat,海壕
monument,纪念地
moor,荒地/沼泽
moss,沼泽
mound,丘
mount,山/峰
mountain,山
mountains,山/山脉
mouth,河口
mull,角
narrow,海峡
national park,国家公园
neck,岬/角
ness,角/海角
north,北
nose,角
oasis,绿洲
ocean,洋
outfall,河口
parish,教区
park,公园
pass,山口/水道/海山口
passage,水道/海峡
patc,点礁
peak,峰/海峰
peninsula,半岛
piedmont,山麓
pier,码头
pike,山/峰
pikes,山/峰
pinnacle,峰/尖礁
pit,坑/盆地
plain,平原/深海平原
plateau,高原/深海高原
platform,台地/海台
point,角
pond,池
pool,池
port,港
post,站
prairie,草原
promontory,角
province,省
quarter,区
quay,码头
range,岭
ranges,岭/山脉
rapid,急流
rapids,急流
ravine,沟谷
reef,礁
reefs,群礁
refuge,保护区
region,区/地区
reservation,居留地/保留地
reservior,水库
ridge,岭
riding,区
rift,裂谷
rise,丘/海隆
river,河
road,路
rock,岩
ruin,遗迹/遗址
ruins,遗迹/遗址
run,河
saddle,山口
saint,圣
saltmarsh,盐沼
sandbank,滩
sands,沙滩
scar,岩
sea,海
seamount,海山
seamount group,海山群
seamount range,海底山脉
seashore,海岸/海滨
settlement,村/定居点
shlef,陆架
shire,郡
shoal,浅滩
shoals,浅滩
skerry,礁
slope,坡/陆坡
slough,沼泽/河湾
sound,湾/海峡
south,南
spit,沙嘴
spring,泉
spur,山嘴/海山嘴
square,广场
stack,岩
state,州
station,站
step,阶地
strait,海峡/水道
strath,谷/河谷
stream,河/溪
street,街
suburb,郊区
summit,峰
swamp,沼泽
swell,海隆
tableland,台地
terrace,阶地/海底阶地
territory,地区
threshold,海槛
tongue,海舌
top,峰/山
tor,山/岩
tower,塔/堡
town,镇/城
trench,海沟
trough,海槽
tunnel,隧道
upland,高地
vale,谷
valley,谷
village,村
volcano,火山
ward,区
wash,洼地/沼泽
water,河/湾/海峡
waterfall,瀑布
waterway,水道
well,井
west,西
wharf,码头
wold,山地
wood,林地
