Abraham,亚伯拉罕
Albert,艾伯特
Alexander,亚历山大
Alexandria,亚历山德里亚
Anna,安娜
Anne,安妮
Annetta,安妮塔
Annette,安妮特
Anton,安东
Augusta,奥古斯塔
Bishop,毕晓普
Boston,波士顿
Bowman,鲍曼
Broughton,布劳顿
Brown,布朗
Charles,查尔斯
Christian,克里斯琴
Davis,戴维斯
Dickens,狄更斯
Donna,唐娜
Douglas,道格拉斯
Dupont,杜邦
Edinburg,爱丁堡
Edison,爱迪生
Edward,爱德华
Elizabeth,伊丽莎白
Erwin,欧文
Fayette,费耶特
Francis,弗朗西斯
Franklin,富兰克林
George,乔治
Grant,格兰特
Hamilton,哈密尔顿
Harris,哈里斯
Hastings,黑斯廷斯
Hazel,黑泽尔
Helena,海伦娜
Henderson,亨德森
Henry,亨利
Howard,霍华德
Irvine,欧文
Irwin,欧文
Isabella,伊莎贝拉
Jack,杰克
Jackson,杰克逊
James,詹姆斯
Janet,珍妮特
Jansen,詹森
Jasper,贾斯珀
Jefferson,杰斐逊
Jenner,詹纳
John,约翰
Johnson,约翰逊
Jones,琼斯
Katherine,凯瑟琳
Katrine,卡特琳
Lafayette,拉斐特
Lawrence,劳伦斯
Lewis,刘易斯
Lincoln,林肯
Louis,路易斯
Louisa,路易莎
Louise,路易丝
Madison,麦迪逊
Martin,马丁
Mary,玛丽
Macdonald,麦克唐纳
Michel,米歇尔
Monroe,门罗
Morgan,摩根
Nelson,纳尔逊
Newton,牛顿
Nicolas,尼古拉斯
Nina,尼娜
Nottingham,诺丁汉
Orange,奥兰治
Owen,欧文
Paul,保罗
Peter,彼得
Polk,波克
Powell,鲍威尔
Powers,鲍尔斯
Quincy,昆西
Richard,理查德
Richardson,理查森
Richmond,里士满
Roberts,罗伯茨
Robinson,鲁滨逊
Roosevelt,罗斯福
Rosalia,罗萨莉娅
Russell,拉塞尔
Smith,史密斯
Somerset,萨默塞特
Taft,塔夫脱
Taylor,泰勒
Thomas,托马斯
Thompson,汤普森
Thomsom,汤姆森
Tom,汤姆
Toms,汤姆斯
Victoria,维多利亚
Washington,华盛顿
William,威廉
Williams,威廉斯
Wilson,威尔逊
Yale,耶鲁
Yates,耶茨
